user_id,session_id,actions,product_id,price,event_time,user_agent
10061,77485903-fe3b-4d6f-8649-b0584fe1c8a7,view,143,,2025-05-09T12:51:04.909034,Mozilla/5.0 (Linux; Android 10)
10197,d3f09146-0995-48dc-a564-e29971fe787e,view,103,,2025-05-09T12:51:04.909071,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10032,9b68114f-ce18-45c7-be94-310986d8296c,view,171,,2025-05-09T12:51:04.909089,Mozilla/5.0 (Linux; Android 10)
10198,9601cd33-6722-418a-b418-2cfbe9820cdf,purchase,157,115.19,2025-05-09T12:51:04.909114,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10136,497104fd-5218-4946-b602-d878f0ec879e,purchase,127,376.31,2025-05-09T12:51:04.909146,Mozilla/5.0 (Linux; Android 10)
10186,9b3aa5a2-3b34-4afc-b8f4-717a7010b704,view,147,,2025-05-09T12:51:04.909174,Mozilla/5.0 (Linux; Android 10)
10071,2baebe6b-7567-4b1d-93d6-76767e193b40,view,176,,2025-05-09T12:51:04.909197,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10011,cec3eaaf-6fea-421f-9252-b8903432b150,purchase,144,8.65,2025-05-09T12:51:04.909215,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10180,1e19a090-1aaa-46a3-af21-a7db80a06d3c,purchase,193,271.74,2025-05-09T12:51:04.909233,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10001,0a037177-1b1f-4ced-8218-0b431b303454,view,181,,2025-05-09T12:51:04.909258,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10109,20942c9d-2cd3-447a-8b4c-ddba0870872e,view,161,,2025-05-09T12:51:04.909283,Mozilla/5.0 (Linux; Android 10)
