user_id,session_id,actions,product_id,price,event_time,user_agent
10054,c1a79d96-de64-42f4-9966-f851cc642919,purchase,138,53.58,2025-05-09T13:48:19.992125,Mozilla/5.0 (Linux; Android 10)
10087,4eb8ed66-2240-4504-ad3e-df662284dd09,purchase,130,435.51,2025-05-09T13:48:19.992162,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10177,7f3795e9-c347-43ad-bd9c-59f1fd2fdf4e,view,184,,2025-05-09T13:48:19.992181,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10019,43cdf026-2454-4687-abaf-bbcd2841f30d,view,177,,2025-05-09T13:48:19.992201,Mozilla/5.0 (Linux; Android 10)
10155,02d3560a-c817-4911-aa12-8558e5a5ac47,purchase,152,150.45,2025-05-09T13:48:19.992228,Mozilla/5.0 (Linux; Android 10)
10002,9f733401-f4ac-4b04-ab57-7b200e115985,purchase,109,383.84,2025-05-09T13:48:19.992256,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10075,89bd7c8e-0bb1-45c4-925b-ab438f4d3f3d,purchase,110,472.23,2025-05-09T13:48:19.992282,Mozilla/5.0 (Linux; Android 10)
10084,43e944a6-372f-45e8-be92-b2621a01cc89,view,111,,2025-05-09T13:48:19.992298,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10048,a4e38813-3ef5-44ed-af48-e2650aebd87f,view,189,,2025-05-09T13:48:19.992312,Mozilla/5.0 (Linux; Android 10)
10061,617f8930-91d9-4618-9746-661e95e70100,purchase,166,174.14,2025-05-09T13:48:19.992332,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10062,10dd9944-8526-4011-b3ac-c386d7896011,view,159,,2025-05-09T13:48:19.992357,Mozilla/5.0 (Linux; Android 10)
10149,79fec896-d0dd-4eeb-bd58-8b44c9d25a9e,view,170,,2025-05-09T13:48:19.992380,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10048,020c4a57-d568-4f04-82da-88313c5c4a8f,view,138,,2025-05-09T13:48:19.992398,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10115,933ac5fe-8855-4fe9-912c-c168db55fc6f,view,130,,2025-05-09T13:48:19.992412,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10195,ba4f99bd-3f2a-46df-bb96-3f7e296fe1b1,view,143,,2025-05-09T13:48:19.992425,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10096,50a1e579-4efc-481c-af83-79287ab35586,purchase,195,202.55,2025-05-09T13:48:19.992441,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
